"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen","last_change"
"plmswia-osoby-baiko-valiantsin","Person","Valiantsin BAIKO","","1969-11-30","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bakalczuk-tatiana","Person","Tatiana BAKALCZUK","","1975-10-16","","","","2022-04-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bandarenka-sviatlana","Person","Sviatlana BANDARENKA","","1985-05-01","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-baraulia-aliaksandr","Person","Aliaksandr BARAULIA","","1974-05-09","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-barsava-valeryia","Person","Valeryia BARSAVA","","1986-08-11","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bartash-sviatlana","Person","Sviatlana BARTASH","","1969-05-04","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-baskov-dmitri","Person","Dmitri BASKOV","","1978-08-25","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-batiuszko-aleksandr","Person","Aleksandr BATIUSZKO","","1994-03-23","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-beheba-valantsina","Person","Valantsina BEHEBA","","1968-05-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-belakoneu-aleh","Person","Aleh BELAKONEU","","1965-05-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-belov-alexey-belov-alexy","Person","Alexey BELOV","Alexy BELOV;BELOV Alexy","1963-11-15","ru","","63111513931","2022-05-13","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-beraziuk-sierhei","Person","Sierhei BERAZIUK","","1973-01-08","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-beshten-natallia","Person","Natallia BESHTEN","","1981-10-19","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-biaspaly-siarhei","Person","Siarhei BIASPALY","","1962-03-01","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bielskij-walerij","Person","WALERIJ BIELSKIJ","","1968-10-30","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-biziuk-uladzimir","Person","Uladzimir BIZIUK","","1974-04-05","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bizukoits-tatsiana","Person","Tatsiana BIZUKOITS","","1972-11-01","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-blizniuk-yuliya","Person","Yuliya BLIZNIUK","","1971-09-23","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-blotski-yury","Person","Yury BLOTSKI","","1987-10-28","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bogatko-wadim","Person","Wadim BOGATKO","","1981-06-17","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-boyarskaya-daria","Person","Daria BOYARSKAYA","","1986-09-20","","","","2022-11-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-boyarskaya-elena","Person","Elena BOYARSKAYA","","1976-09-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-boyko-oleg","Person","Oleg BOYKO","","1964-09-28","","","","2024-12-13","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bratanowa-swietlana","Person","Swietłana BRATANOWA","","1979-03-23","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-brazovsky-anatoly","Person","Anatoly BRAZOVSKY","","1983-07-25","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-briegan-jewgienij","Person","Jewgienij BRIEGAN","","1982-03-26","","","","2023-06-23","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-brych-leanid","Person","Leanid BRYCH","","1958-12-12","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-brych-viktar","Person","Viktar BRYCH","","1964-10-26","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-bubenchyk-dzmitry","Person","Dzmitry BUBENCHYK","","1985-07-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-buhuk-nataliia","Person","Nataliia BUHUK","","1989-12-19","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-buinouskaia-hanna","Person","Hanna BUINOUSKAIA","","1981-10-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-burunou-yauheni","Person","Yauheni BURUNOU","","1978-12-27","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-buryj-giennadij","Person","Giennadij BURYJ","","1963-01-04","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-chaichyts-viktar","Person","Viktar CHAICHYTS","","1960-08-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-chaika-katsiaryna","Person","Katsiaryna CHAIKA","","1984-10-22","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-charkashyna-liubov","Person","Liubov CHARKASHYNA","","1987-12-23","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-charniauskaya-zhanna","Person","Zhanna CHARNIAUSKAYA","","1971-07-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-cherapovich-sviatlana","Person","Sviatlana CHERAPOVICH","","1987-06-07","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-cherepanava-sviatlana","Person","Sviatlana CHEREPANAVA","","1972-10-04","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-czugai-dmitri","Person","Dmitri CZUGAI","","1972-02-10","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-danchanka-aliaksandr","Person","Aliaksandr DANCHANKA","","1964-06-18","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-danilovich-viachaslau","Person","Viachaslau DANILOVICH","","1973-11-21","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dashko-anatol","Person","Anatol DASHKO","","1960-01-25","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-daudov-magomed-hozhakhmedovich","Person","Magomed Hozhakhmedovich DAUDOV","","1980-02-26","","","","2022-10-27","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dauhashei-tamara","Person","Tamara DAUHASHEI","","1960-07-27","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-davidovich-hanna","Person","Hanna DAVIDOVICH","","1966-11-11","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-davydzka-henadz","Person","Henadz DAVYDZKA","","1955-09-29","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-deripaska-oleg","Person","Oleg DERIPASKA","","1968-01-02","","","","2022-04-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-diemidowicz-wasilij","Person","Wasilij DIEMIDOWICZ","","1961-12-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-douhala-iryna","Person","Iryna DOUHALA","","1967-03-08","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dovgalenok-dmitri","Person","Dmitri DOVGALENOK","","1971-12-14","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-drozd-iryna","Person","Iryna DROZD","","1965-02-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-drozdovsky-konstantin","Person","Konstantin DROZDOVSKY","","1974-05-26","","","","2022-11-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dubau-aliaksandr","Person","Aliaksandr DUBAU","","1955-04-11","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dumbadze-tenhiz","Person","Tenhiz DUMBADZE","","1964-07-07","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-durnou-viacheslau","Person","Viacheslau DURNOU","","1967-01-09","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dyszczenko-dzianis","Person","Dzianis DYSZCZENKO","","1982-10-14","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dzerman-aleksey","Person","Aleksey DZERMAN","","1979-06-04","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dziachenka-aleh","Person","Aleh DZIACHENKA","","1971-06-14","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dziamidau-zmitser","Person","Zmitser DZIAMIDAU","","1975-12-11","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dziarkach-yuryi","Person","Yuryi DZIARKACH","","1962-08-05","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-dzik-siarhei","Person","Siarhei DZIK","","1956-03-10","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-edelbiev-baysangur","Person","Baysangur EDELBIEV","","1989-12-02","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-edelbiev-isa","Person","Isa EDELBIEV","","1957-12-10","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-edelbiev-khazhbi","Person","Khazhbi EDELBIEV","","1996-02-09","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-edelbieva-diana","Person","Diana EDELBIEVA","","1991-10-13","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-ejsmont-iwan","Person","Iwan EJSMONT","","1977-01-20","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-ejsmont-natialia","Person","Natialia EJSMONT","","1984-02-16","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-fedorchenko-oleg","Person","Oleg FEDORCHENKO","","1974-06-28","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-filonik-wiera","Person","Wiera FILONIK","","1990-03-08","","","","2023-06-23","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-firtash-dmytro","Person","Dmytro FIRTASH","","1965-05-02","","","","2024-06-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-fridman-michail","Person","Michaił FRIDMAN","","1964-04-21","","","","2022-04-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-frolova-ellada","Person","Ellada FROLOVA","","1968-09-16","","","","2022-11-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gajduczyk-witalij","Person","Witalij GAJDUCZYK","","1988-01-12","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-ganczarik-dzimitryj","Person","Dzimitryj GANCZARIK","","1983-07-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gladyszew-nikita","Person","Nikita GŁADYSZEW","","1995-07-21","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gladyszewa-galina","Person","Galina GŁADYSZEWA","","1975-10-14","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gorenchuk-aleksandr","Person","Aleksandr GORENCHUK","","1974-08-07","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gorval-svetlana","Person","Svetlana GORVAL","","1986-08-25","","","","2022-11-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-grankowskij-aleksandr","Person","ALEKSANDR GRANKOWSKIJ","","1963-11-09","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-grigorowicz-nikolaj","Person","Nikołaj GRIGOROWICZ","","1958-11-24","","","","2023-06-23","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-grigoryev-grigory","Person","Grigory GRIGORYEV","","1977-09-19","","","","2023-07-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gromoglasova-elizaveta","Person","Elizaveta GROMOGLASOVA","","1982-09-26","","","","2022-11-22","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gruszko-andriej","Person","Andriej GRUSZKO","","1979-01-24","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gucerjew-michail","Person","Michaił GUCERJEW","","1958-03-09","","","","2022-04-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-gucerjew-sait-salam","Person","Sait-Salam GUCERJEW","","1959-07-25","","","","2022-04-26","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-haiduk-aksana","Person","Aksana HAIDUK","","1974-02-06","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-haidukevich-aleh","Person","Aleh HAIDUKEVICH","","1977-03-26","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-haidukevich-valeryi","Person","Valeryi HAIDUKEVICH","","1953-01-19","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-halavaty-ivan","Person","Ivan HALAVATY","","1976-06-15","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
"plmswia-osoby-halkina-katsiaryna","Person","Katsiaryna HALKINA","","1997-02-25","","","","2023-05-30","","","Polish List of Persons and Entities Subject to Sanctions","2025-04-28T19:38:23","2025-04-28T19:38:23","2025-04-28T19:38:23"
